day,hour,usual,current,date
6,14,74,100,2021-06-13
6,15,76,100,2021-06-13
6,16,69,100,2021-06-13
6,17,56,100,2021-06-13
6,18,40,100,2021-06-13
6,19,26,100,2021-06-13
6,20,15,100,2021-06-13
6,21,7,100,2021-06-13
0,9,11,24,2021-06-14
0,10,16,24,2021-06-14
0,11,21,24,2021-06-14
0,12,26,39,2021-06-14
0,13,30,50,2021-06-14
0,14,33,49,2021-06-14
0,15,35,57,2021-06-14
0,16,36,49,2021-06-14
0,17,34,48,2021-06-14
0,18,30,43,2021-06-14
0,19,23,56,2021-06-14
0,20,15,80,2021-06-14
0,21,8,81,2021-06-14
1,11,19,27,2021-06-15
1,12,22,34,2021-06-15
1,13,25,29,2021-06-15
1,14,28,28,2021-06-15
1,15,29,31,2021-06-15
1,16,30,37,2021-06-15
1,17,28,37,2021-06-15
1,18,24,49,2021-06-15
1,19,19,56,2021-06-15
1,20,13,41,2021-06-15
1,21,7,37,2021-06-15
2,11,26,35,2021-06-16
2,12,31,32,2021-06-16
2,13,34,32,2021-06-16
2,14,36,34,2021-06-16
1,13,24,80,2021-06-22
1,14,25,80,2021-06-22
1,15,27,92,2021-06-22
2,18,49,52,2021-06-23
